EMPTY findGo
EMPTY tasks/AirdropNameVoucher
EMPTY tasks/addCatalog
EMPTY tasks/checkDapperTx
EMPTY tasks/client
EMPTY tasks/collectionDataTest
EMPTY tasks/dandy
EMPTY tasks/dapperMarket
EMPTY tasks/event
EMPTY tasks/findDapperMarket
EMPTY tasks/mainnetMarket
EMPTY tasks/mainnetMarketListingEnquiry
EMPTY tasks/nfg
EMPTY tasks/partyMansion
EMPTY tasks/registerGift
EMPTY tasks/testnetMarket
EMPTY tasks/testnetUser
EMPTY utils
PASS TestFindThought/Should_be_able_to_delete_a_thought (0.13s)
PASS TestFindThought/Should_be_able_to_post_a_thought_with_NFT (0.29s)
PASS TestFindThought/Should_be_able_to_post_a_thought_with_quote (0.26s)
PASS TestFindThought/Should_be_able_to_hide_thoughts (0.26s)
PASS TestFindThought (1.95s)
PASS TestFindUtils/containsChar_should_return_false_if_string_does_not_contain (0.00s)
PASS TestFindUtils/containsChar_should_return_true_if_string_contains (0.00s)
PASS TestFindUtils/contains_should_be_able_to_check_contains (0.01s)
PASS TestFindUtils/contains_should_return_false_if_string_does_not_contain (0.00s)
PASS TestFindUtils/contains_should_return_true_if_string_partially_contains (0.00s)
PASS TestFindUtils/contains_should_return_false_if_element_is_longer_than_string (0.00s)
PASS TestFindUtils/contains_should_return_true_if_element_is_empty_string (0.01s)
PASS TestFindUtils/contains_should_return_false_if_string_is_empty_string (0.00s)
PASS TestFindUtils/hasSuffix_should_return_true_if_suffix_is_valid (0.00s)
PASS TestFindUtils/hasSuffix_should_return_false_if_suffix_is_not_valid (0.00s)
PASS TestFindUtils/hasSuffix_should_return_true_if_entire_string_is_passed_in (0.00s)
PASS TestFindUtils/hasSuffix_should_return_true_if_empty_string_is_passed_in (0.00s)
PASS TestFindUtils/hasSuffix_should_return_false_if_suffix_is_longer_than_string (0.01s)
PASS TestFindUtils/hasPrefix_should_return_true_if_prefix_is_valid (0.00s)
PASS TestFindUtils/hasPrefix_should_return_false_if_prefix_is_not_valid (0.00s)
PASS TestFindUtils/hasPrefix_should_return_true_if_entire_string_is_passed_in (0.00s)
PASS TestFindUtils/hasPrefix_should_return_true_if_empty_string_is_passed_in (0.00s)
PASS TestFindUtils/hasPrefix_should_return_false_if_prefix_is_longer_than_string (0.00s)
PASS TestFindUtils/hasPrefix_should_return_false_if_prefix_is_longer_than_string#01 (0.00s)
PASS TestFindUtils/toUpper_should_return_upper_cases (0.00s)
PASS TestFindUtils/toUpper_should_return_upper_cases_if_they_are_already_upper_cases (0.00s)
PASS TestFindUtils/firstUpperLetter_should_return_upper_case_for_first_letter (0.00s)
PASS TestFindUtils/firstUpperLetter_should_returns_same_if_first_letter_is_already_upper_case (0.00s)
PASS TestFindUtils/firstUpperLetter_should_returns_same_if_first_letter_is_not_alphabet (0.00s)
PASS TestFindUtils/to_snake_case_should_returns_snake_case_CamelCase (0.00s)
PASS TestFindUtils/to_snake_case_should_returns_snake_case_Camel_Case (0.00s)
PASS TestFindUtils/to_snake_case_should_returns_snake_case_Camel_case (0.00s)
PASS TestFindUtils/toCamelCase_should_returns_camel_case_Camel_case (0.00s)
PASS TestFindUtils/toCamelCase_should_returns_camel_case_Camel_Case (0.00s)
PASS TestFindUtils/toCamelCase_should_returns_camel_case_Camel_case#01 (0.00s)
PASS TestFindUtils/toCamelCase_should_returns_camel_case_Camel_Case#01 (0.00s)
PASS TestFindUtils/trimSuffix_should_trim_bam.find (0.00s)
PASS TestFindUtils/trimSuffix_should_not_trim_christian.fine (0.00s)
PASS TestFindUtils/trimSuffix_should_not_trim_bam (0.00s)
PASS TestFindUtils/trimFindSuffix_should_trim_bam.find (0.03s)
PASS TestFindUtils/trimFindSuffix_should_return_bam (0.03s)
PASS TestFindUtils/splitString_should_split_Hello_World_And_All (0.00s)
PASS TestFindUtils/splitString_should_split_Hello_World.And_All (0.00s)
PASS TestFindUtils/splitString_should_not_split_Hello.World.And.All (0.00s)
PASS TestFindUtils/splitString_should_not_split_HelloWorldAndAll (0.00s)
PASS TestFindUtils/joinMapToString_should_join_the_map_and_return_as_expected (0.00s)
PASS TestFindUtils/devJoinString_should_join_the_string_with_sep_and_return_as_expected (0.00s)
PASS TestFindUtils/deDupTypeArray_should_dedup_duplicated_as_expected (0.04s)
PASS TestFindUtils (0.22s)
PASS TestFindVerifier/Should_return_false_if_user_have_no_float (0.07s)
PASS TestFindVerifier/Should_panic_if_no_float_is_specified (0.03s)
PASS TestFindVerifier/Should_return_true_if_user_has_one_of_the_float (0.10s)
PASS TestFindVerifier/Should_return_false_if_user_doesn't_have_float_contained (0.13s)
PASS TestFindVerifier/Should_return_true_if_user_has_all_of_the_float (0.16s)
PASS TestFindVerifier/Should_return_false_if_user_doesn't_have_all_float_contained (0.16s)
PASS TestFindVerifier/Should_panic_if_no_float_is_specified#01 (0.03s)
PASS TestFindVerifier/Should_return_true_if_user_is_in_whiteLabel (0.03s)
PASS TestFindVerifier/Should_return_true_if_user_is_not_in_whiteLabel (0.03s)
PASS TestFindVerifier/Should_panic_if_no_one_is_not_in_whiteLabel (0.03s)
PASS TestFindVerifier/Should_return_true_if_user_has_the_find_name (0.03s)
PASS TestFindVerifier/Should_return_false_if_user_does_not_have_the_find_name (0.03s)
PASS TestFindVerifier/Should_panic_if_no_find_name_is_specified (0.03s)
PASS TestFindVerifier/Should_return_false_if_user_has_no_lease_collection (0.04s)
PASS TestFindVerifier/Should_return_true_if_user_has_no_of_NFTs_equal_to_threshold (0.05s)
PASS TestFindVerifier/Should_return_true_if_user_has_no_of_NFTs_more_than_threshold (0.07s)
PASS TestFindVerifier/Should_return_false_if_user_has_no_of_NFTs_less_than_threshold (0.04s)
PASS TestFindVerifier/Should_panic_if_0_threshold_is_specified (0.03s)
PASS TestFindVerifier/Should_return_false_if_user_has_no_collection (0.03s)
PASS TestFindVerifier/Should_return_true_if_user_has_nft_with_specified_rarity (0.04s)
PASS TestFindVerifier/Should_return_false_if_user_does_not_have_nft_with_specified_rarity (0.04s)
PASS TestFindVerifier/Should_panic_if_no_rarity_is_specified (0.03s)
PASS TestFindVerifier/Should_return_false_if_user_has_no_collection_specified_for_rarity (0.03s)
PASS TestFindVerifier (1.28s)
PASS TestFTRegistry/Should_be_able_to_registry_flow_token_and_get_it (0.01s)
PASS TestFTRegistry/Should_not_be_able_to_overrride_a_ft_without_removing_it_first (0.08s)
PASS TestFTRegistry/Should_be_able_to_registry_flow_token,_fusd_token_and_get_list_from_it (0.01s)
PASS TestFTRegistry/Should_be_able_to_registry_usdc_token_and_get_it (0.00s)
PASS TestFTRegistry/Should_be_able_to_send_usdc_to_another_name (0.05s)
PASS TestFTRegistry/Should_be_able_to_send_fusd_to_another_name (0.05s)
PASS TestFTRegistry/Should_be_able_to_send_flow_to_another_name (0.05s)
PASS TestFTRegistry/Should_be_able_to_registry_and_remove_them (0.17s)
PASS TestFTRegistry (0.43s)
PASS TestGeneratedExperiences/Should_be_able_to_add_season (0.11s)
PASS TestGeneratedExperiences/Should_be_able_to_add_mint_token (0.57s)
PASS TestGeneratedExperiences (0.68s)
PASS TestLeaseMarketAuctionSoft/Should_not_be_able_to_list_an_item_for_auction_twice,_and_will_give_error_message. (0.20s)
PASS TestLeaseMarketAuctionSoft/Should_be_able_to_sell_at_auction (0.42s)
PASS TestLeaseMarketAuctionSoft/Should_be_able_to_cancel_listing_if_the_pointer_is_no_longer_valid (0.44s)
PASS TestLeaseMarketAuctionSoft/Should_not_be_able_to_list_with_price_0 (0.06s)
PASS TestLeaseMarketAuctionSoft/Should_not_be_able_to_list_with_invalid_reserve_price (0.07s)
PASS TestLeaseMarketAuctionSoft/Should_not_be_able_to_list_with_invalid_time (0.06s)
PASS TestLeaseMarketAuctionSoft/Should_be_able_to_add_bid_at_auction (0.48s)
PASS TestLeaseMarketAuctionSoft/Should_not_be_able_to_bid_expired_auction_listing (0.28s)
PASS TestLeaseMarketAuctionSoft/Should_not_be_able_to_bid_your_own_listing (0.25s)
PASS TestLeaseMarketAuctionSoft/Should_be_able_to_cancel_an_auction (0.19s)
PASS TestLeaseMarketAuctionSoft/Should_not_be_able_to_cancel_an_ended_auction (0.47s)
PASS TestLeaseMarketAuctionSoft/Cannot_fulfill_a_not_yet_ended_auction (0.34s)
PASS TestLeaseMarketAuctionSoft/Should_allow_seller_to_cancel_auction_if_it_failed_to_meet_reserve_price (0.40s)
PASS TestLeaseMarketAuctionSoft/Should_be_able_to_bid_and_increase_bid_by_same_user (0.32s)
PASS TestLeaseMarketAuctionSoft/Should_not_be_able_to_list_after_deprecated (0.11s)
PASS TestLeaseMarketAuctionSoft/Should_not_be_able_to_bid_below_listing_price (0.20s)
PASS TestLeaseMarketAuctionSoft/Royalties_should_be_sent_to_correspondence_upon_fulfill_action (0.35s)
PASS TestLeaseMarketAuctionSoft/Should_emit_previous_bidder_if_outbid (0.32s)
PASS TestLeaseMarketAuctionSoft/Should_be_able_to_list_an_NFT_for_auction_and_bid_it_with_DUC (0.48s)
PASS TestLeaseMarketAuctionSoft (5.49s)
PASS TestLeaseMarketDirectOfferSoft/Should_be_able_to_add_direct_offer_and_then_sell (0.33s)
PASS TestLeaseMarketDirectOfferSoft/Should_not_be_able_to_offer_with_price_0 (0.06s)
PASS TestLeaseMarketDirectOfferSoft/Should_not_be_able_to_offer_with_invalid_time (0.06s)
PASS TestLeaseMarketDirectOfferSoft/Should_be_able_to_reject_offer_if_the_pointer_is_no_longer_valid (0.24s)
PASS TestLeaseMarketDirectOfferSoft/Should_be_able_to_retract_offer_if_the_pointer_is_no_longer_valid (0.24s)
PASS TestLeaseMarketDirectOfferSoft/Should_be_able_to_increase_offer (0.25s)
PASS TestLeaseMarketDirectOfferSoft/Should_be_able_to_reject_offer (0.20s)
PASS TestLeaseMarketDirectOfferSoft/Should_be_able_to_retract_offer (0.19s)
PASS TestLeaseMarketDirectOfferSoft/Should_not_be_able_to_offer_your_own_NFT (0.06s)
PASS TestLeaseMarketDirectOfferSoft/Should_not_be_able_to_accept_expired_offer (0.27s)
PASS TestLeaseMarketDirectOfferSoft/Should_not_be_able_to_add_direct_offer_when_deprecated (0.11s)
PASS TestLeaseMarketDirectOfferSoft/Should_not_be_able_to_increase_bid_but_able_to_fulfill_offer_when_deprecated (0.43s)
PASS TestLeaseMarketDirectOfferSoft/Should_be_able_to_reject_offer_when_deprecated (0.24s)
PASS TestLeaseMarketDirectOfferSoft/Should_not_be_able_to_add_direct_offer_after_stopped (0.11s)
PASS TestLeaseMarketDirectOfferSoft/Should_not_be_able_to_increase_bid_nor_accept_offer_after_stopped (0.30s)
PASS TestLeaseMarketDirectOfferSoft/Should_not_be_able_to_fulfill_offer_after_stopped (0.35s)
PASS TestLeaseMarketDirectOfferSoft/Should_not_be_able_to_reject_offer_after_stopped (0.23s)
PASS TestLeaseMarketDirectOfferSoft/Should_be_able_to_direct_offer,_increase_offer_and_fulfill_offer_after_enabled (0.45s)
PASS TestLeaseMarketDirectOfferSoft/Should_be_able_to_reject_offer_after_enabled (0.27s)
PASS TestLeaseMarketDirectOfferSoft/Should_not_be_able_to_make_offer_by_user3_when_deprecated_or_stopped (0.35s)
PASS TestLeaseMarketDirectOfferSoft/Should_be_able_to_retract_offer_when_deprecated_,_but_not_when_stopped (0.34s)
PASS TestLeaseMarketDirectOfferSoft/Royalties_should_be_sent_to_correspondence_upon_accept_offer_action (0.27s)
PASS TestLeaseMarketDirectOfferSoft/Should_be_able_to_ban_user,_user_is_only_allowed_to_cancel_listing. (0.44s)
PASS TestLeaseMarketDirectOfferSoft/Should_be_able_to_ban_user,_user_can_only_retract_offer (0.74s)
PASS TestLeaseMarketDirectOfferSoft/Should_return_money_when_outbid (0.20s)
PASS TestLeaseMarketDirectOfferSoft/Should_be_able_to_list_an_NFT_for_sale_and_buy_it_with_DUC (0.39s)
PASS TestLeaseMarketDirectOfferSoft (7.16s)
PASS TestLeaseMarketSale/Should_be_able_to_list_a_lease_for_sale_and_buy_it (0.21s)
PASS TestLeaseMarketSale/Should_not_be_able_to_list_with_price_$0 (0.07s)
PASS TestLeaseMarketSale/Should_not_be_able_to_list_with_invalid_time (0.07s)
PASS TestLeaseMarketSale/Should_be_able_to_cancel_listing_if_the_pointer_is_no_longer_valid (0.18s)
PASS TestLeaseMarketSale/Should_be_able_to_change_price_of_lease (0.19s)
PASS TestLeaseMarketSale/Should_not_be_able_to_buy_your_own_listing (0.13s)
PASS TestLeaseMarketSale/Should_not_be_able_to_buy_expired_listing (0.22s)
PASS TestLeaseMarketSale/Should_be_able_to_cancel_sale (0.19s)
PASS TestLeaseMarketSale/Should_not_be_able_to_buy_if_too_low_price (0.13s)
PASS TestLeaseMarketSale/Royalties_should_be_sent_to_correspondence_upon_buy_action (0.14s)
PASS TestLeaseMarketSale/Royalties_should_be_sent_to_correspondence_upon_buy_action,_if_royalty_is_higher_than_0.44 (0.14s)
PASS TestLeaseMarketSale/Should_be_able_to_ban_user,_user_is_only_allowed_to_cancel_listing. (0.25s)
PASS TestLeaseMarketSale (1.93s)
PASS TestMarketAuctionEscrow/Should_be_able_to_sell_at_auction (0.46s)
PASS TestMarketAuctionEscrow/Should_not_be_able_to_list_an_item_for_auction_twice,_and_will_give_error_message. (0.24s)
PASS TestMarketAuctionEscrow/Should_be_able_to_cancel_listing_if_the_pointer_is_no_longer_valid (0.36s)
PASS TestMarketAuctionEscrow/Should_not_be_able_to_list_with_price_0 (0.07s)
PASS TestMarketAuctionEscrow/Should_not_be_able_to_list_with_invalid_reserve_price (0.10s)
PASS TestMarketAuctionEscrow/Should_not_be_able_to_list_with_invalid_time (0.08s)
PASS TestMarketAuctionEscrow/Should_be_able_to_sell_at_auction,_buyer_fulfill (0.43s)
PASS TestMarketAuctionEscrow/Should_not_be_able_to_bid_expired_auction_listing (0.30s)
PASS TestMarketAuctionEscrow/Should_not_be_able_to_bid_your_own_listing (0.21s)
PASS TestMarketAuctionEscrow/Should_return_funds_if_auction_does_not_meet_reserve_price (0.42s)
PASS TestMarketAuctionEscrow/Should_be_able_to_cancel_the_auction (0.20s)
PASS TestMarketAuctionEscrow/Should_not_be_able_to_cancel_the_auction_if_it_is_ended (0.49s)
PASS TestMarketAuctionEscrow/Should_not_be_able_to_fulfill_a_not_yet_live_/_ended_auction (0.42s)
PASS TestMarketAuctionEscrow/Should_return_funds_if_auction_is_cancelled (0.42s)
PASS TestMarketAuctionEscrow/Should_be_able_to_bid_and_increase_bid_by_same_user (0.40s)
PASS TestMarketAuctionEscrow/Should_not_be_able_to_add_bid_that_is_not_above_minimumBidIncrement (0.34s)
PASS TestMarketAuctionEscrow/Should_not_be_able_to_list_after_deprecated (0.12s)
PASS TestMarketAuctionEscrow/Should_be_able_to_bid,_add_bid_,_fulfill_auction_and_delist_after_deprecated (0.74s)
PASS TestMarketAuctionEscrow/Should_no_be_able_to_list,_bid,_add_bid_,_fulfill_auction_after_stopped (0.89s)
PASS TestMarketAuctionEscrow/Should_not_be_able_to_bid_below_listing_price (0.21s)
PASS TestMarketAuctionEscrow/Should_not_be_able_to_bid_less_the_previous_bidder (0.28s)
PASS TestMarketAuctionEscrow/Royalties_should_be_sent_to_correspondence_upon_fulfill_action (0.36s)
PASS TestMarketAuctionEscrow/Royalties_of_find_platform_should_be_able_to_change (0.43s)
PASS TestMarketAuctionEscrow/Should_be_able_to_ban_user,_user_is_only_allowed_to_cancel_listing. (0.75s)
PASS TestMarketAuctionEscrow/Should_emit_previous_bidder_if_outbid (0.23s)
PASS TestMarketAuctionEscrow/Should_be_able_to_list_a_timed_auction_with_future_start_time (0.08s)
PASS TestMarketAuctionEscrow/Should_be_able_to_list_a_timed_auction_with_current_start_time (0.08s)
PASS TestMarketAuctionEscrow/Should_be_able_to_list_a_timed_auction_with_previous_start_time (0.08s)
PASS TestMarketAuctionEscrow/Should_be_able_to_bid_a_timed_auction_that_is_started (0.15s)
PASS TestMarketAuctionEscrow/Should_not_be_able_to_bid_a_timed_auction_that_is_not_yet_started (0.15s)
PASS TestMarketAuctionEscrow/Should_be_able_to_sell_and_buy_at_auction_even_the_buyer_didn't_link_receiver_correctly (0.44s)
PASS TestMarketAuctionEscrow (9.99s)
PASS TestMarketAuctionSoft/Should_be_able_to_sell_at_auction (0.41s)
PASS TestMarketAuctionSoft/Should_not_be_able_to_list_an_item_for_auction_twice,_and_will_give_error_message. (0.21s)
PASS TestMarketAuctionSoft/Should_be_able_to_sell_and_buy_at_auction_even_buyer_is_without_the_collection. (0.46s)
=== RUN   TestMarketAuctionSoft/Should_be_able_to_cancel_listing_if_the_pointer_is_no_longer_valid
    market_auction_soft_test.go:88: 
        	Error Trace:	/Users/bjartek/go/pkg/mod/github.com/bjartek/overflow@v1.14.1-0.20240201172206-df28bd63430b/result.go:201
        	            				/Users/bjartek/dev/find/market_auction_soft_test.go:88
        	Error:      	transaction cancelMarketAuctionSoft missing event A.179b6b1cb6755e31.FindMarketAuctionSoft.EnglishAuction with fields map[string]interface {}{
        	            	  "amount": 15.0,
        	            	  "buyer": "0xe2f72218abeec2b9",
        	            	  "id": 9943947977234055170,
        	            	  "seller": "0x0f7025fa05b578e3",
        	            	  "status": "cancel_ghostlisting",
        	            	}
        	Test:       	TestMarketAuctionSoft/Should_be_able_to_cancel_listing_if_the_pointer_is_no_longer_valid
    event.go:321: === Events ===
    market_auction_soft_test.go:88: A.179b6b1cb6755e31.FindMarketAuctionSoft.EnglishAuction
    market_auction_soft_test.go:88:   amount -> 10
    market_auction_soft_test.go:88:   status -> cancel_ghostlisting
    market_auction_soft_test.go:88:       id -> 9943947977234055170
    market_auction_soft_test.go:88:   seller -> 0x0f7025fa05b578e3
--- FAIL: TestMarketAuctionSoft/Should_be_able_to_cancel_listing_if_the_pointer_is_no_longer_valid (0.47s)
FAIL TestMarketAuctionSoft/Should_be_able_to_cancel_listing_if_the_pointer_is_no_longer_valid (0.47s)
PASS TestMarketAuctionSoft/Should_not_be_able_to_list_with_price_0 (0.08s)
PASS TestMarketAuctionSoft/Should_not_be_able_to_list_with_invalid_reserve_price (0.08s)
PASS TestMarketAuctionSoft/Should_not_be_able_to_list_with_invalid_time (0.18s)
PASS TestMarketAuctionSoft/Should_be_able_to_add_bid_at_auction (0.49s)
=== RUN   TestMarketAuctionSoft/Should_not_be_able_to_bid_expired_auction_listing
